sim_time,agent_idx,lane,gradient,fake_vehicles_injected
0,0,road_1_2_3_0,0.08757715672254562,2
0,0,road_1_2_3_1,0.08757714927196503,2
0,0,road_2_1_2_0,-0.2598060369491577,0
0,0,road_2_1_2_1,0.09730091691017151,2
0,0,road_1_0_1_0,0.08757715672254562,2
0,0,road_1_0_1_1,0.08757715672254562,2
0,0,road_0_1_0_0,-0.2598060369491577,0
0,0,road_0_1_0_1,0.09730091691017151,2
10,0,road_1_2_3_0,0.08757723867893219,2
10,0,road_1_2_3_1,0.08757723867893219,2
10,0,road_2_1_2_0,0.09730085730552673,2
10,0,road_2_1_2_1,-0.25980621576309204,0
10,0,road_1_0_1_0,0.08757723867893219,2
10,0,road_1_0_1_1,0.08757723867893219,2
10,0,road_0_1_0_0,0.09730086475610733,2
10,0,road_0_1_0_1,-0.25980618596076965,0
20,0,road_1_2_3_0,0.07737478613853455,2
20,0,road_1_2_3_1,0.07737480103969574,2
20,0,road_2_1_2_0,-0.23872658610343933,0
20,0,road_2_1_2_1,0.10627394914627075,2
20,0,road_1_0_1_0,0.07737478613853455,2
20,0,road_1_0_1_1,0.07737480103969574,2
20,0,road_0_1_0_0,-0.24991624057292938,0
20,0,road_0_1_0_1,0.08315085619688034,2
30,0,road_1_2_3_0,0.04667014628648758,1
30,0,road_1_2_3_1,0.04667016118764877,1
30,0,road_2_1_2_0,-0.13671186566352844,0
30,0,road_2_1_2_1,0.09651844948530197,2
30,0,road_1_0_1_0,0.04667014628648758,1
30,0,road_1_0_1_1,0.04667015001177788,1
30,0,road_0_1_0_0,-0.1115107461810112,0
30,0,road_0_1_0_1,0.11681076139211655,3
40,0,road_1_2_3_0,0.017791885882616043,1
40,0,road_1_2_3_1,0.013900479301810265,1
40,0,road_2_1_2_0,-0.06296978145837784,0
40,0,road_2_1_2_1,0.030403250828385353,2
40,0,road_1_0_1_0,0.023539500311017036,1
40,0,road_1_0_1_1,0.017791863530874252,1
40,0,road_0_1_0_0,-0.059127580374479294,0
