sim_time,agent_idx,step,lane,gradient,cumulative_fake_before_this_step,fake_vehicles_this_step
0,0,0,road_1_2_3_0,0.0,0,0
0,0,0,road_1_2_3_1,-0.0001607049780432135,0,0
0,0,0,road_1_2_3_2,-0.00016070512356236577,0,0
0,0,0,road_2_1_2_0,0.0,0,0
0,0,0,road_2_1_2_1,0.00030690018320456147,0,3
0,0,0,road_2_1_2_2,-0.0002681636833585799,0,0
0,0,0,road_1_0_1_0,0.0,0,0
0,0,0,road_1_0_1_1,-0.00016070500714704394,0,0
0,0,0,road_1_0_1_2,-0.00016070506535470486,0,0
0,0,0,road_0_1_0_0,0.0,0,0
0,0,0,road_0_1_0_1,0.00030690027051605284,0,3
0,0,0,road_0_1_0_2,-0.00026816336321644485,0,0
0,0,0,road_1_3_3_0,0.0,0,0
0,0,0,road_1_3_3_1,-0.0001607049780432135,0,0
0,0,0,road_1_3_3_2,-0.00016070512356236577,0,0
0,0,0,road_2_2_2_0,0.0,0,0
0,0,0,road_2_2_2_1,0.00030690018320456147,0,3
0,0,0,road_2_2_2_2,-0.0002681636833585799,0,0
0,0,0,road_1_1_1_0,0.0,0,0
0,0,0,road_1_1_1_1,-0.00016070500714704394,0,0
0,0,0,road_1_1_1_2,-0.00016070506535470486,0,0
0,0,0,road_0_2_0_0,0.0,0,0
0,0,0,road_0_2_0_1,0.00030690027051605284,0,3
0,0,0,road_0_2_0_2,-0.00026816336321644485,0,0
0,0,0,road_1_4_3_0,0.0,0,0
0,0,0,road_1_4_3_1,-0.0001607049780432135,0,0
0,0,0,road_1_4_3_2,-0.00016070512356236577,0,0
0,0,0,road_2_3_2_0,0.0,0,0
0,0,0,road_2_3_2_1,0.00030690018320456147,0,3
0,0,0,road_2_3_2_2,-0.0002681636833585799,0,0
0,0,0,road_1_2_1_0,0.0,0,0
0,0,0,road_1_2_1_1,-0.00016070500714704394,0,0
0,0,0,road_1_2_1_2,-0.00016070506535470486,0,0
0,0,0,road_0_3_0_0,0.0,0,0
0,0,0,road_0_3_0_1,0.00030690027051605284,0,3
0,0,0,road_0_3_0_2,-0.00026816336321644485,0,0
0,0,0,road_1_5_3_0,0.0,0,0
0,0,0,road_1_5_3_1,-0.0001607049780432135,0,0
0,0,0,road_1_5_3_2,-0.00016070512356236577,0,0
0,0,0,road_2_4_2_0,0.0,0,0
0,0,0,road_2_4_2_1,0.00030690018320456147,0,3
0,0,0,road_2_4_2_2,-0.0002681636833585799,0,0
0,0,0,road_1_3_1_0,0.0,0,0
0,0,0,road_1_3_1_1,-0.00016070500714704394,0,0
0,0,0,road_1_3_1_2,-0.00016070506535470486,0,0
0,0,0,road_0_4_0_0,0.0,0,0
0,0,0,road_0_4_0_1,0.00030690027051605284,0,3
0,0,0,road_0_4_0_2,-0.00026816336321644485,0,0
0,0,0,road_2_2_3_0,0.0,0,0
0,0,0,road_2_2_3_1,-0.0001607049780432135,0,0
0,0,0,road_2_2_3_2,-0.00016070512356236577,0,0
0,0,0,road_3_1_2_0,0.0,0,0
0,0,0,road_3_1_2_1,0.00030690018320456147,0,3
0,0,0,road_3_1_2_2,-0.0002681636833585799,0,0
0,0,0,road_2_0_1_0,0.0,0,0
0,0,0,road_2_0_1_1,-0.00016070500714704394,0,0
0,0,0,road_2_0_1_2,-0.00016070506535470486,0,0
0,0,0,road_1_1_0_0,0.0,0,0
0,0,0,road_1_1_0_1,0.00030690027051605284,0,3
0,0,0,road_1_1_0_2,-0.00026816336321644485,0,0
0,0,0,road_2_3_3_0,0.0,0,0
0,0,0,road_2_3_3_1,-0.0001607049780432135,0,0
0,0,0,road_2_3_3_2,-0.00016070512356236577,0,0
0,0,0,road_3_2_2_0,0.0,0,0
0,0,0,road_3_2_2_1,0.00030690018320456147,0,3
0,0,0,road_3_2_2_2,-0.0002681636833585799,0,0
0,0,0,road_2_1_1_0,0.0,0,0
0,0,0,road_2_1_1_1,-0.00016070500714704394,0,0
0,0,0,road_2_1_1_2,-0.00016070506535470486,0,0
0,0,0,road_1_2_0_0,0.0,0,0
0,0,0,road_1_2_0_1,0.00030690027051605284,0,3
0,0,0,road_1_2_0_2,-0.00026816336321644485,0,0
0,0,0,road_2_4_3_0,0.0,0,0
0,0,0,road_2_4_3_1,-0.0001607049780432135,0,0
0,0,0,road_2_4_3_2,-0.00016070512356236577,0,0
0,0,0,road_3_3_2_0,0.0,0,0
0,0,0,road_3_3_2_1,0.00030690018320456147,0,3
0,0,0,road_3_3_2_2,-0.0002681636833585799,0,0
0,0,0,road_2_2_1_0,0.0,0,0
0,0,0,road_2_2_1_1,-0.00016070500714704394,0,0
0,0,0,road_2_2_1_2,-0.00016070506535470486,0,0
0,0,0,road_1_3_0_0,0.0,0,0
0,0,0,road_1_3_0_1,0.00030690027051605284,0,3
0,0,0,road_1_3_0_2,-0.00026816336321644485,0,0
0,0,0,road_2_5_3_0,0.0,0,0
0,0,0,road_2_5_3_1,-0.0001607049780432135,0,0
0,0,0,road_2_5_3_2,-0.00016070512356236577,0,0
0,0,0,road_3_4_2_0,0.0,0,0
0,0,0,road_3_4_2_1,0.00030690018320456147,0,3
0,0,0,road_3_4_2_2,-0.0002681636833585799,0,0
0,0,0,road_2_3_1_0,0.0,0,0
0,0,0,road_2_3_1_1,-0.00016070500714704394,0,0
0,0,0,road_2_3_1_2,-0.00016070506535470486,0,0
0,0,0,road_1_4_0_0,0.0,0,0
0,0,0,road_1_4_0_1,0.00030690027051605284,0,3
0,0,0,road_1_4_0_2,-0.00026816336321644485,0,0
0,0,0,road_3_2_3_0,0.0,0,0
0,0,0,road_3_2_3_1,-0.0001607049780432135,0,0
0,0,0,road_3_2_3_2,-0.00016070512356236577,0,0
0,0,0,road_4_1_2_0,0.0,0,0
0,0,0,road_4_1_2_1,0.00030690018320456147,0,3
0,0,0,road_4_1_2_2,-0.0002681636833585799,0,0
0,0,0,road_3_0_1_0,0.0,0,0
0,0,0,road_3_0_1_1,-0.00016070500714704394,0,0
0,0,0,road_3_0_1_2,-0.00016070506535470486,0,0
0,0,0,road_2_1_0_0,0.0,0,0
0,0,0,road_2_1_0_1,0.00030690027051605284,0,3
0,0,0,road_2_1_0_2,-0.00026816336321644485,0,0
0,0,0,road_3_3_3_0,0.0,0,0
0,0,0,road_3_3_3_1,-0.0001607049780432135,0,0
0,0,0,road_3_3_3_2,-0.00016070512356236577,0,0
0,0,0,road_4_2_2_0,0.0,0,0
0,0,0,road_4_2_2_1,0.00030690018320456147,0,3
0,0,0,road_4_2_2_2,-0.0002681636833585799,0,0
0,0,0,road_3_1_1_0,0.0,0,0
0,0,0,road_3_1_1_1,-0.00016070500714704394,0,0
0,0,0,road_3_1_1_2,-0.00016070506535470486,0,0
0,0,0,road_2_2_0_0,0.0,0,0
0,0,0,road_2_2_0_1,0.00030690027051605284,0,3
0,0,0,road_2_2_0_2,-0.00026816336321644485,0,0
0,0,0,road_3_4_3_0,0.0,0,0
0,0,0,road_3_4_3_1,-0.0001607049780432135,0,0
0,0,0,road_3_4_3_2,-0.00016070512356236577,0,0
0,0,0,road_4_3_2_0,0.0,0,0
0,0,0,road_4_3_2_1,0.00030690018320456147,0,3
0,0,0,road_4_3_2_2,-0.0002681636833585799,0,0
0,0,0,road_3_2_1_0,0.0,0,0
0,0,0,road_3_2_1_1,-0.00016070500714704394,0,0
0,0,0,road_3_2_1_2,-0.00016070506535470486,0,0
0,0,0,road_2_3_0_0,0.0,0,0
0,0,0,road_2_3_0_1,0.00030690027051605284,0,3
0,0,0,road_2_3_0_2,-0.00026816336321644485,0,0
0,0,0,road_3_5_3_0,0.0,0,0
0,0,0,road_3_5_3_1,-0.0001607049780432135,0,0
0,0,0,road_3_5_3_2,-0.00016070512356236577,0,0
0,0,0,road_4_4_2_0,0.0,0,0
0,0,0,road_4_4_2_1,0.00030690018320456147,0,3
0,0,0,road_4_4_2_2,-0.0002681636833585799,0,0
0,0,0,road_3_3_1_0,0.0,0,0
0,0,0,road_3_3_1_1,-0.00016070500714704394,0,0
0,0,0,road_3_3_1_2,-0.00016070506535470486,0,0
0,0,0,road_2_4_0_0,0.0,0,0
0,0,0,road_2_4_0_1,0.00030690027051605284,0,3
0,0,0,road_2_4_0_2,-0.00026816336321644485,0,0
0,0,0,road_4_2_3_0,0.0,0,0
