sim_time,fake_vehicles_injected,total_vehicles,avg_wait_time
0,12,0,0.0
10,12,1,0.0
20,12,5,0.0
30,9,12,0.0
40,10,17,0.058823529411764705
50,10,21,0.7142857142857143
60,11,24,2.125
70,10,30,0.9
80,9,34,1.7352941176470589
90,11,43,1.0232558139534884
100,9,46,1.3043478260869565
110,11,53,2.3207547169811322
120,11,57,3.6140350877192984
130,9,58,5.758620689655173
140,10,62,8.483870967741936
150,10,59,12.76271186440678
160,10,64,15.609375
170,11,65,19.43076923076923
180,10,64,24.015625
190,11,65,28.06153846153846
200,11,65,32.52307692307692
210,10,72,33.59722222222222
220,10,71,24.52112676056338
230,10,74,16.91891891891892
240,10,70,20.414285714285715
250,10,67,24.895522388059703
260,11,65,25.323076923076922
270,12,56,21.125
280,10,53,24.339622641509433
290,11,57,12.0
300,11,64,12.953125
310,10,64,14.25
320,11,66,16.03030303030303
330,11,66,19.21212121212121
340,10,71,21.464788732394368
350,10,71,25.56338028169014
360,12,71,20.718309859154928
370,10,70,7.614285714285714
380,11,76,9.960526315789474
390,10,77,14.246753246753247
400,11,72,20.11111111111111
410,11,71,25.64788732394366
420,13,71,23.098591549295776
430,10,72,18.291666666666668
440,11,73,15.643835616438356
450,10,78,17.076923076923077
460,10,77,20.376623376623378
470,11,79,21.481012658227847
480,10,81,23.938271604938272
490,12,80,28.225
500,12,79,26.31645569620253
510,11,77,23.636363636363637
520,11,82,26.426829268292682
530,11,87,26.344827586206897
540,10,88,27.136363636363637
550,10,89,29.730337078651687
560,12,91,30.23076923076923
570,11,88,23.920454545454547
580,10,85,29.611764705882354
590,10,82,35.25609756097561
600,10,82,40.75609756097561
610,12,79,48.12658227848101
620,11,82,44.69512195121951
630,12,84,18.107142857142858
640,12,83,9.204819277108435
650,12,81,11.814814814814815
660,11,89,12.067415730337078
670,10,84,17.404761904761905
680,10,85,20.764705882352942
690,11,78,22.397435897435898
700,11,76,22.82894736842105
710,10,76,24.973684210526315
720,10,78,25.435897435897434
730,10,80,28.5625
740,11,79,21.556962025316455
750,12,81,22.28395061728395
760,12,78,26.94871794871795
770,11,77,32.02597402597402
780,12,81,29.71604938271605
790,11,75,37.053333333333335
800,12,73,39.43835616438356
810,10,75,38.38666666666666
820,10,78,39.65384615384615
830,10,79,36.69620253164557
840,10,83,36.71084337349398
850,10,83,39.8433734939759
860,12,84,42.51190476190476
870,11,83,46.602409638554214
880,11,83,50.57831325301205
890,11,83,54.71084337349398
900,11,76,46.53947368421053
910,11,73,20.767123287671232
920,11,71,23.12676056338028
930,11,74,27.013513513513512
940,11,76,16.039473684210527
950,12,74,10.135135135135135
960,10,77,13.61038961038961
970,11,81,11.987654320987655
980,10,73,11.808219178082192
990,9,71,12.464788732394366
1000,10,68,15.735294117647058
1010,10,61,20.852459016393443
1020,10,54,27.59259259259259
1030,11,49,21.387755102040817
1040,11,47,23.97872340425532
1050,11,46,27.32608695652174
1060,10,45,31.2
1070,12,41,30.463414634146343
1080,10,39,34.48717948717949
1090,9,36,21.805555555555557
1100,10,38,22.210526315789473
1110,9,34,10.882352941176471
1120,11,31,4.806451612903226
1130,9,35,5.0
1140,11,42,5.404761904761905
1150,10,44,1.1136363636363635
1160,11,48,1.9375
1170,11,51,3.4705882352941178
1180,11,53,3.547169811320755
1190,10,48,5.354166666666667
1200,10,46,8.065217391304348
1210,10,49,11.0
1220,12,48,11.979166666666666
1230,13,49,5.795918367346939
1240,10,52,5.1923076923076925
1250,12,54,5.444444444444445
1260,11,55,6.636363636363637
1270,10,51,9.235294117647058
1280,11,52,11.846153846153847
1290,11,48,7.8125
1300,9,52,7.5576923076923075
1310,10,58,9.793103448275861
1320,10,65,10.738461538461538
1330,11,62,15.112903225806452
1340,11,65,18.892307692307693
1350,9,68,23.058823529411764
1360,9,66,29.393939393939394
1370,11,64,36.65625
1380,11,68,28.308823529411764
1390,12,75,20.226666666666667
1400,10,76,21.605263157894736
1410,11,80,16.775
1420,11,72,19.01388888888889
1430,9,70,22.885714285714286
1440,10,69,27.014492753623188
1450,12,68,25.11764705882353
1460,12,68,16.941176470588236
1470,11,69,18.6231884057971
1480,11,72,20.333333333333332
1490,11,73,23.013698630136986
1500,11,76,25.69736842105263
1510,10,75,30.373333333333335
1520,12,78,21.833333333333332
1530,12,73,28.534246575342465
1540,11,69,35.927536231884055
1550,11,71,29.366197183098592
1560,9,70,31.357142857142858
1570,10,72,32.22222222222222
1580,12,75,24.973333333333333
1590,11,72,19.15277777777778
1600,11,74,15.743243243243244
1610,12,77,17.207792207792206
1620,11,78,19.833333333333332
1630,12,78,19.82051282051282
1640,10,79,21.227848101265824
1650,11,84,23.023809523809526
1660,12,94,22.819148936170212
1670,11,93,27.236559139784948
1680,9,100,29.96
1690,10,99,34.93939393939394
1700,10,94,42.276595744680854
1710,10,94,38.308510638297875
1720,10,98,38.39795918367347
1730,10,92,46.96739130434783
1740,12,93,52.483870967741936
1750,10,98,56.36734693877551
1760,11,95,45.1578947368421
1770,12,99,33.03030303030303
1780,11,98,24.428571428571427
1790,12,98,28.23469387755102
1800,13,94,25.872340425531913
1810,10,88,26.102272727272727
1820,11,88,30.568181818181817
1830,10,88,35.22727272727273
1840,11,88,34.48863636363637
1850,12,85,34.48235294117647
1860,12,77,36.5974025974026
1870,12,78,35.69230769230769
1880,11,74,18.445945945945947
1890,10,73,18.80821917808219
1900,10,70,24.62857142857143
1910,10,65,26.584615384615386
1920,12,65,26.307692307692307
1930,11,64,31.078125
1940,10,70,32.41428571428571
1950,10,72,25.36111111111111
1960,10,75,18.226666666666667
1970,11,77,20.324675324675326
1980,11,81,21.395061728395063
1990,11,81,23.296296296296298
2000,12,77,28.61038961038961
2010,10,84,30.702380952380953
2020,10,84,34.26190476190476
2030,11,81,37.370370370370374
2040,10,77,44.27272727272727
2050,10,74,38.891891891891895
2060,11,69,35.10144927536232
2070,11,68,6.867647058823529
2080,10,66,10.56060606060606
2090,10,65,13.984615384615385
2100,11,65,17.861538461538462
2110,10,68,18.16176470588235
2120,10,71,19.591549295774648
2130,11,72,10.666666666666666
2140,11,74,7.351351351351352
2150,11,74,9.175675675675675
2160,11,78,11.961538461538462
2170,10,77,15.7012987012987
2180,10,68,22.36764705882353
2190,10,62,30.112903225806452
2200,11,55,40.472727272727276
2210,10,53,38.471698113207545
2220,10,54,35.55555555555556
2230,10,51,34.98039215686274
2240,11,52,38.0
2250,11,47,46.297872340425535
2260,11,48,49.5
2270,11,46,40.630434782608695
2280,9,44,42.38636363636363
