task: tsc | agent: mplight | Final Travel Time is 274.6855, mean rewards: -14.9221, queue: 119.4389, delay: 0.7382, throughput: 2226

task: tsc_rl_adversarial | agent: efficient_mplight | Final Travel Time is 428.3460, mean rewards: 152.3539, queue: 151.6917, delay: 0.8734, throughput: 1792

task: tsc_rl_adversarial | agent: advance_colight | Final Travel Time is 122.3884, mean rewards: 152.0814, queue: 152.2805, delay: 0.7688, throughput: 2011

task: tsc | agent: mplight | Final Travel Time is 287.3172, mean rewards: -16.5520, queue: 132.4972, delay: 0.7442, throughput: 1450

task: tsc_rl_adversarial | agent: mplight | Final Travel Time is 324.4712, mean rewards: 150.2347, queue: 150.3389, delay: 0.7576, throughput: 1093



task: tsc | agent: efficient_colight | Final Travel Time is 129.3234, mean rewards: -229.6534, queue: 153.3083, delay: 0.7646, throughput: 1809

task: tsc_rl_adversarial | agent: colight | Final Travel Time is 103.2662, mean rewards: 151.6273, queue: 151.8445, delay: 0.7864, throughput: 3028
task: tsc | agent: colight | Final Travel Time is 183.9863, mean rewards: -203.9558, queue: 136.1639, delay: 0.7460, throughput: 878
task: tsc | agent: efficient_mplight | Final Travel Time is 95.8482, mean rewards: -2.7159, queue: 21.6361, delay: 0.6037, throughput: 2193

task: tsc_rl_adversarial | agent: colight | Final Travel Time is 156.3724, mean rewards: 135.6411, queue: 135.8417, delay: 0.7509, throughput: 1136

task: tsc | agent: efficient_mplight | Final Travel Time is 95.8482, mean rewards: -2.7159, queue: 21.6361, delay: 0.6037, throughput: 2193
task: tsc | agent: colight | Final Travel Time is 200.2779, mean rewards: -206.3858, queue: 137.7805, delay: 0.7450, throughput: 788

task: tsc | agent: efficient_mplight | Final Travel Time is 95.8482, mean rewards: -2.7159, queue: 21.6361, delay: 0.6037, throughput: 2193

task: tsc_rl_adversarial | agent: efficient_mplight | Final Travel Time is 417.1888, mean rewards: 104.4389, queue: 104.4444, delay: 0.6909, throughput: 1282

task: tsc | agent: colight | Final Travel Time is 200.2779, mean rewards: -206.3858, queue: 137.7805, delay: 0.7450, throughput: 788


task: tsc | agent: colight | Final Travel Time is 156.3724, mean rewards: -203.4617, queue: 135.8417, delay: 0.7509, throughput: 1136

task: tsc_rl_adversarial | agent: colight | Final Travel Time is 156.3724, mean rewards: 135.6411, queue: 135.8417, delay: 0.7509, throughput: 1136

task: tsc_rl_adversarial | agent: colight | Final Travel Time is 156.3724, mean rewards: 135.6411, queue: 135.8417, delay: 0.7509, throughput: 1136

task: tsc_rl_adversarial | agent: colight | Final Travel Time is 156.3724, mean rewards: 135.6411, queue: 135.8417, delay: 0.7509, throughput: 1136

task: tsc_rl_adversarial | agent: colight | Final Travel Time is 156.3724, mean rewards: 135.6411, queue: 135.8417, delay: 0.7509, throughput: 1136
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 177.4581, mean rewards: 69.1242, queue: 68.6889, delay: 0.7794, throughput: 2054
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 177.4581, mean rewards: 69.1242, queue: 68.6889, delay: 0.7794, throughput: 2054
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 177.4581, mean rewards: 69.1242, queue: 68.6889, delay: 0.7794, throughput: 2054
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 177.4581, mean rewards: 69.1242, queue: 68.6889, delay: 0.7794, throughput: 2054
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 177.4581, mean rewards: 69.1242, queue: 68.6889, delay: 0.7794, throughput: 2054
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 177.4581, mean rewards: 69.1242, queue: 68.6889, delay: 0.7794, throughput: 2054
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 177.4581, mean rewards: 69.1242, queue: 68.6889, delay: 0.7794, throughput: 2054
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 177.4581, mean rewards: 69.1242, queue: 68.6889, delay: 0.7794, throughput: 2054
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 177.4581, mean rewards: 69.1242, queue: 68.6889, delay: 0.7794, throughput: 2054
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 177.4581, mean rewards: 69.1242, queue: 68.6889, delay: 0.7794, throughput: 2054
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 177.4581, mean rewards: 69.1242, queue: 68.6889, delay: 0.7794, throughput: 2054
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 410.6597, mean rewards: 1410.7819, queue: 5.4085, delay: 0.1927, throughput: 2665
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 410.6597, mean rewards: 1410.7819, queue: 5.4085, delay: 0.1927, throughput: 2665
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 408.3211, mean rewards: 1342.4353, queue: 5.1465, delay: 0.1857, throughput: 2678
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
task: tsc_rl_adversarial | agent: maxqueue | Final Travel Time is 202.8215, mean rewards: 77.2261, queue: 76.7667, delay: 0.7634, throughput: 2022
