file,agent,task,seed,n_test_ep,final_tt_last,final_tt_lastN,final_thru,final_queue
2026_07_05-15_41_55_DTL.log,colight,clean,-1,4,1541.6799641416405,1288.910129986553,,
2026_07_05-15_43_08_DTL.log,colight,clean,-1,200,944.9448677722994,1096.4022411474675,,
2026_07_06-10_54_22_DTL.log,colight,clean,-1,10,1663.695652173913,1518.4895562528013,,
2026_07_06-12_46_16_DTL.log,colight,clean,-1,150,944.9448677722994,1036.7532944867773,,
2026_07_07-20_47_25_DTL.log,colight,clean,-1,4,166.88888888888889,133.51349522073042,,
2026_07_08-14_31_20_DTL.log,colight,clean,-1,50,183.98633257403188,213.7372674623153,,
2026_07_08-14_40_12_DTL.log,colight,clean,-1,35,244.96476510067114,179.61363502789834,,
2026_07_09-19_28_26_DTL.log,colight,clean,-1,200,200.2779187817259,191.49680685636665,,
2026_07_09-20_23_01_DTL.log,colight,clean,-1,200,200.2779187817259,191.49680685636665,,
2026_07_01-08_25_15_DTL.log,efficient_mplight,clean,-1,200,255.0651586765699,253.32764117879145,,
2026_07_01-09_31_50_DTL.log,efficient_mplight,clean,-1,1,112.28230452674897,112.28230452674897,,
2026_07_01-09_34_21_DTL.log,efficient_mplight,clean,-1,3,112.28230452674897,112.28230452674897,,
2026_07_01-09_35_38_DTL.log,efficient_mplight,clean,-1,1,112.28230452674897,112.28230452674897,,
2026_07_01-09_36_02_DTL.log,efficient_mplight,clean,-1,10,255.97051926298158,267.2777893593185,,
2026_07_01-10_27_39_DTL.log,efficient_mplight,clean,-1,10,255.97051926298158,267.2777893593185,,
2026_07_01-12_17_59_DTL.log,efficient_mplight,clean,-1,200,255.0651586765699,253.32764117879145,,
2026_07_05-14_47_07_DTL.log,efficient_mplight,clean,-1,200,95.84815321477429,95.61094376391313,,
2026_07_08-15_05_40_DTL.log,efficient_mplight,clean,-1,200,95.84815321477429,95.61094376391313,,
2026_07_09-19_31_51_DTL.log,efficient_mplight,clean,-1,200,95.84815321477429,95.61094376391313,,
2026_07_09-19_56_41_DTL.log,efficient_mplight,clean,-1,200,95.84815321477429,95.61094376391313,,
2026_07_08-12_07_33_DTL.log,colight,clean,-1,8,103.2661822985469,171.89686044504586,,
2026_07_08-12_10_39_DTL.log,colight,clean,-1,2,122.38836399801095,122.38836399801095,,
2026_07_08-12_12_02_DTL.log,colight,clean,-1,2,122.38836399801095,122.38836399801095,,
2026_07_08-12_20_57_DTL.log,colight,clean,-1,2,122.38836399801095,122.38836399801095,,
2026_07_08-12_23_39_DTL.log,colight,clean,-1,50,129.3233830845771,119.09873594988024,,
2026_07_09-20_27_00_DTL.log,colight,clean,-1,200,156.37235915492957,156.37235915492957,,
2026_07_05-16_53_10_DTL.log,efficient_mplight,clean,-1,200,106.78690036900369,103.71249747215384,,
2026_06_02-11_13_27_DTL.log,mplight,clean,-1,71,100.34505087881591,102.83411116748542,,
2026_06_02-11_24_44_DTL.log,mplight,clean,-1,8,129.31785063752278,194.27538753246867,,
2026_06_02-11_27_32_DTL.log,mplight,clean,-1,10,99.38055937643283,99.68281849855886,,
2026_06_02-11_38_48_DTL.log,mplight,clean,-1,10,99.38055937643283,99.68281849855886,,
2026_06_02-12_13_20_DTL.log,mplight,clean,-1,10,99.38055937643283,99.68281849855886,,
2026_06_02-12_19_39_DTL.log,mplight,clean,-1,10,99.38055937643283,99.68281849855886,,
2026_06_02-15_39_42_DTL.log,mplight,clean,-1,10,99.38055937643283,99.68281849855886,,
2026_07_07-12_51_28_DTL.log,mplight,clean,-1,2,497.6398362892224,395.51387525962093,,
2026_07_07-13_07_37_DTL.log,mplight,clean,-1,2,497.6398362892224,395.51387525962093,,
2026_07_07-13_11_32_DTL.log,mplight,clean,-1,2,497.6398362892224,395.51387525962093,,
2026_07_07-13_15_01_DTL.log,mplight,clean,-1,100,274.685534591195,226.76558580388945,,
2026_07_07-20_06_28_DTL.log,mplight,clean,-1,161,205.72185430463577,274.1166288387061,,
2026_07_07-21_50_31_DTL.log,mplight,clean,-1,200,287.31724137931036,274.9985234152562,,
2026_06_02-14_51_19_DTL.log,mplight,clean,-1,1,358.677239605658,358.677239605658,,
2026_06_02-14_52_16_DTL.log,mplight,clean,-1,10,378.4925545996029,384.138066833385,,
2026_06_02-15_28_00_DTL.log,mplight,clean,-1,10,378.4925545996029,384.138066833385,,
2026_07_06-12_34_05_DTL.log,colight,attack,-1,1,1197.3738233975796,1197.3738233975796,818.0,190.35556030273438
2026_07_06-12_34_34_DTL.log,colight,attack,-1,10,1197.3738233975796,1197.3738233975796,818.0,190.35556030273438
2026_07_06-13_24_56_DTL.log,colight,attack,-1,200,944.9448677722994,944.9448677722994,1071.0,189.2388916015625
2026_07_07-20_50_55_DTL.log,colight,attack,-1,200,122.38836399801095,122.38836399801093,2011.0,152.28054809570312
2026_07_08-14_50_03_DTL.log,colight,attack,-1,17,156.37235915492957,156.37235915492957,1136.0,135.84165954589844
2026_07_08-14_55_47_DTL.log,colight,attack,-1,200,156.37235915492957,156.37235915492957,1136.0,135.84165954589844
2026_07_09-21_34_40_DTL.log,colight,attack,-1,200,156.37235915492957,156.37235915492957,1136.0,135.84165954589844
2026_07_09-23_51_36_DTL.log,colight,attack,-1,200,156.37235915492957,156.37235915492957,1136.0,135.84165954589844
2026_07_05-15_04_43_DTL.log,efficient_mplight,attack,-1,200,108.2536832412523,109.86090101033247,2172.8,30.608888626098633
