file,agent,task,seed,n_test_ep,final_tt_last,final_tt_lastN,final_thru,final_queue
2026_07_05-15_43_08_DTL.log,colight,clean,-1,200,944.9448677722994,1096.4022411474675,,
2026_07_06-12_46_16_DTL.log,colight,clean,-1,150,944.9448677722994,1036.7532944867771,,
2026_07_09-19_28_26_DTL.log,colight,clean,-1,200,200.2779187817259,191.49680685636665,,
2026_07_01-08_25_15_DTL.log,efficient_mplight,clean,-1,200,255.0651586765699,253.32764117879145,,
2026_07_05-14_47_07_DTL.log,efficient_mplight,clean,-1,200,95.84815321477429,95.61094376391311,,
2026_07_09-20_27_00_DTL.log,colight,clean,-1,200,156.37235915492957,156.37235915492957,,
2026_07_05-16_53_10_DTL.log,efficient_mplight,clean,-1,200,106.78690036900367,103.71249747215384,,
2026_07_07-20_06_28_DTL.log,mplight,clean,-1,161,205.72185430463577,274.1166288387061,,
2026_07_07-21_50_31_DTL.log,mplight,clean,-1,200,287.31724137931036,274.9985234152562,,
2026_07_06-13_24_56_DTL.log,colight,attack,-1,200,944.9448677722994,944.9448677722994,1071.0,189.2388916015625
2026_07_07-20_50_55_DTL.log,colight,attack,-1,200,122.38836399801096,122.38836399801092,2011.0,152.28054809570312
2026_07_08-14_55_47_DTL.log,colight,attack,-1,200,156.37235915492957,156.37235915492957,1136.0,135.84165954589844
2026_07_05-15_04_43_DTL.log,efficient_mplight,attack,-1,200,108.2536832412523,109.86090101033248,2172.8,30.608888626098633
2026_07_09-19_59_45_DTL.log,efficient_mplight,attack,-1,200,192.1915159076731,178.73823396351744,1957.2,62.436666870117186
2026_07_05-22_11_06_DTL.log,efficient_mplight,attack,-1,200,397.3423499577346,365.5524981173983,1278.6,91.60610961914062
2026_07_07-14_50_18_DTL.log,efficient_mplight,attack,-1,200,429.43210586881474,438.02635918636014,1749.6,152.2683349609375
2026_06_15-15_53_10_DTL.log,mplight,attack,-1,200,130.10854503464202,132.30314175945185,2150.6,44.45388946533203
2026_07_07-14_33_33_DTL.log,mplight,attack,-1,200,147.29491307147455,163.56157919786716,2891.4,139.80333099365234
2026_07_07-22_55_57_DTL.log,mplight,attack,-1,200,142.79114583333333,142.05516209747606,1919.0,141.76388854980468
