sim_time,fake_vehicles_injected,total_vehicles,avg_wait_time
0,96,0,0.0
10,96,12,0.0
20,96,18,0.0
30,96,28,0.0
40,120,36,0.0
50,132,44,0.0
60,141,50,0.16
70,153,59,0.4745762711864407
80,156,68,1.0147058823529411
90,171,73,2.315068493150685
100,174,82,2.9878048780487805
110,156,89,4.808988764044944
120,177,100,6.53
130,180,105,8.952380952380953
140,191,113,11.31858407079646
150,201,122,13.672131147540984
160,195,127,16.818897637795274
170,201,136,19.794117647058822
180,201,140,23.135714285714286
190,195,152,25.86842105263158
200,194,157,29.853503184713375
210,209,165,33.36969696969697
220,210,170,37.71764705882353
230,201,175,42.33714285714286
240,207,183,46.18032786885246
250,203,190,50.11052631578947
260,200,197,53.95939086294416
270,203,203,58.13793103448276
280,215,211,61.78199052132702
290,227,218,65.77064220183486
300,225,224,70.10714285714286
310,234,234,73.25213675213675
320,236,243,76.80246913580247
330,230,250,81.032
340,226,258,85.01162790697674
350,226,267,88.65168539325843
360,238,275,88.0
370,259,282,89.16666666666667
380,267,288,80.87152777777777
390,265,297,62.14478114478114
400,259,304,50.42434210526316
410,277,312,45.04807692307692
420,259,321,44.62928348909657
430,271,324,46.46296296296296
440,265,329,48.72948328267477
450,274,334,46.104790419161674
460,271,345,42.10144927536232
470,277,350,40.3
480,274,353,45.13314447592068
490,276,363,49.743801652892564
500,270,368,56.5
510,272,376,61.21010638297872
520,266,383,67.7467362924282
530,258,392,73.06377551020408
540,264,401,78.41147132169576
550,258,405,85.38518518518518
560,270,416,90.9375
570,264,420,98.01666666666667
580,270,429,103.91142191142191
590,264,439,106.83599088838268
600,258,442,114.13800904977376
610,249,451,118.06651884700665
620,272,458,120.23799126637554
630,273,465,122.29247311827957
640,279,478,125.7489539748954
650,273,489,130.94478527607362
660,261,496,136.33870967741936
670,279,506,134.6798418972332
680,276,514,129.06614785992218
690,270,520,121.16923076923077
700,261,530,108.30377358490566
710,255,537,98.25884543761639
720,246,542,90.74169741697418
730,243,551,86.07622504537206
740,249,559,82.92665474060823
750,235,568,76.31514084507042
760,243,571,72.29597197898424
770,234,578,59.64878892733564
780,240,581,58.003442340791736
790,240,589,57.40916808149406
800,249,599,57.819699499165274
810,246,604,61.62251655629139
