lane,White-box FGSM_real,White-box FGSM_fake,RL (multi-PPO)_real,RL (multi-PPO)_fake
road_0_1_0_0,67,0,68,120
road_0_1_0_1,62,180,63,120
road_0_1_0_2,7,144,8,0
road_0_2_0_0,28,0,28,0
road_0_2_0_1,18,171,17,0
road_0_2_0_2,2,132,2,0
road_0_3_0_1,0,180,0,0
road_0_3_0_2,0,138,0,0
road_0_4_0_0,81,0,100,90
road_0_4_0_1,99,62,103,90
road_0_4_0_2,12,122,12,0
road_1_0_1_0,28,0,28,0
road_1_0_1_1,20,150,20,0
road_1_0_1_2,3,156,3,0
road_1_1_0_0,9,0,50,120
road_1_1_0_1,7,180,42,120
road_1_1_0_2,0,51,6,0
road_1_1_1_0,5,0,16,120
road_1_1_1_1,2,72,20,120
road_1_1_1_2,0,72,6,0
road_1_2_0_0,8,0,17,0
road_1_2_0_1,5,180,14,0
road_1_2_0_2,1,99,3,0
road_1_2_1_0,2,0,15,0
road_1_2_1_1,2,144,13,0
road_1_2_1_2,0,144,0,0
road_1_2_3_0,8,0,19,0
road_1_2_3_1,6,165,19,0
road_1_2_3_2,0,135,5,0
road_1_3_0_0,1,0,6,0
road_1_3_0_1,1,180,2,0
road_1_3_0_2,0,12,1,0
road_1_3_1_0,0,0,10,0
road_1_3_1_1,0,168,8,0
road_1_3_1_2,0,162,0,0
road_1_3_3_0,1,0,25,0
road_1_3_3_1,0,72,21,0
road_1_3_3_2,0,72,4,0
road_1_4_0_0,2,0,57,0
road_1_4_0_1,1,180,58,0
road_1_4_0_2,0,9,14,0
road_1_4_3_0,34,0,33,120
road_1_4_3_1,41,103,38,120
road_1_4_3_2,6,9,6,0
road_1_5_3_0,25,0,29,0
road_1_5_3_1,27,165,27,0
road_1_5_3_2,1,165,1,0
road_2_0_1_1,0,66,0,0
road_2_0_1_2,0,66,0,0
road_2_1_0_0,6,0,24,120
road_2_1_0_1,5,180,20,120
road_2_1_0_2,0,27,4,0
road_2_1_1_0,0,0,1,120
road_2_1_1_1,0,0,1,120
road_2_1_2_0,2,0,4,0
road_2_1_2_1,1,171,2,0
road_2_1_2_2,1,147,1,0
road_2_2_0_0,4,0,8,0
road_2_2_0_1,4,174,8,0
road_2_2_0_2,0,117,0,0
road_2_2_1_0,1,0,8,0
road_2_2_1_1,1,99,7,0
road_2_2_1_2,0,99,0,0
road_2_2_2_0,2,0,6,0
road_2_2_2_1,1,144,4,0
road_2_2_2_2,0,141,0,0
road_2_2_3_0,2,0,9,0
road_2_2_3_1,1,66,7,0
road_2_2_3_2,0,66,1,0
road_2_3_0_0,1,0,5,0
road_2_3_0_1,1,180,5,0
road_2_3_0_2,0,15,2,0
road_2_3_1_0,0,0,7,0
road_2_3_1_1,1,0,6,0
road_2_3_1_2,0,0,1,0
road_2_3_2_0,1,0,13,0
road_2_3_2_1,1,180,10,0
road_2_3_2_2,1,138,2,0
road_2_3_3_0,0,0,11,0
road_2_3_3_1,0,0,6,0
road_2_4_0_0,1,0,36,120
road_2_4_0_1,0,180,33,120
road_2_4_0_2,0,6,7,0
road_2_4_2_0,1,0,12,30
road_2_4_2_1,0,162,7,30
road_2_4_2_2,0,147,0,0
road_2_4_3_0,0,0,13,120
road_2_4_3_1,1,99,12,120
road_2_4_3_2,1,99,4,0
road_3_1_0_0,3,0,12,0
road_3_1_0_1,1,180,9,0
road_3_1_0_2,0,156,2,0
road_3_1_1_0,0,0,4,0
road_3_1_1_1,0,93,2,0
road_3_1_1_2,0,90,0,0
road_3_1_2_0,1,0,5,0
road_3_1_2_1,1,180,4,0
road_3_1_2_2,0,51,0,0
road_3_2_0_0,0,0,8,0
road_3_2_0_1,0,177,6,0
road_3_2_0_2,0,114,0,0
road_3_2_1_0,1,0,7,0
road_3_2_1_1,0,0,3,0
road_3_2_2_0,4,0,14,0
road_3_2_2_1,2,180,10,0
road_3_2_2_2,0,99,1,0
road_3_2_3_0,0,0,2,0
road_3_3_0_0,2,0,7,0
road_3_3_0_1,1,177,6,0
road_3_3_0_2,0,150,1,0
road_3_3_1_0,1,0,11,0
road_3_3_1_1,0,0,6,0
road_3_3_2_0,2,0,13,0
road_3_3_2_1,2,180,11,0
road_3_3_2_2,0,12,3,0
road_3_3_3_0,0,0,5,120
road_3_3_3_1,0,93,3,120
road_3_3_3_2,0,90,0,0
road_3_4_0_0,0,0,21,120
road_3_4_0_1,1,159,19,120
road_3_4_0_2,0,161,5,0
road_3_4_2_0,1,0,25,120
road_3_4_2_1,1,180,23,120
road_3_4_2_2,0,9,5,0
road_3_4_3_0,1,0,10,120
road_3_4_3_1,0,0,8,120
road_3_4_3_2,0,0,1,0
road_4_0_1_0,33,0,33,0
road_4_0_1_1,29,86,29,0
road_4_0_1_2,5,49,5,0
road_4_1_1_0,1,0,20,120
road_4_1_1_1,0,66,14,120
road_4_1_1_2,0,69,2,0
road_4_1_2_0,1,0,10,0
road_4_1_2_1,1,180,6,0
road_4_1_2_2,0,27,2,0
road_4_2_1_0,4,0,15,120
road_4_2_1_1,3,135,8,120
road_4_2_1_2,0,132,0,0
road_4_2_2_0,7,0,19,0
road_4_2_2_1,6,138,16,0
road_4_2_2_2,0,114,0,0
road_4_2_3_0,0,0,9,0
road_4_2_3_1,0,168,3,0
road_4_2_3_2,0,167,0,0
road_4_3_1_0,12,0,19,0
road_4_3_1_1,10,153,15,0
road_4_3_1_2,3,156,4,0
road_4_3_2_0,3,0,19,0
road_4_3_2_1,2,180,13,0
road_4_3_2_2,0,15,1,0
road_4_3_3_0,2,0,8,0
road_4_3_3_1,2,66,8,0
road_4_3_3_2,0,69,0,0
road_4_4_2_0,3,0,46,0
road_4_4_2_1,1,180,37,0
road_4_4_2_2,0,6,4,0
road_4_4_3_0,1,0,10,0
road_4_4_3_1,0,135,6,0
road_4_4_3_2,0,132,0,0
road_4_5_3_1,0,153,0,0
road_4_5_3_2,0,156,0,0
road_5_1_2_0,0,0,0,120
road_5_1_2_1,0,180,0,120
road_5_1_2_2,0,156,0,0
road_5_2_2_0,29,0,28,0
road_5_2_2_1,25,162,25,0
road_5_2_2_2,3,84,3,0
road_5_3_2_0,42,0,42,0
road_5_3_2_1,24,159,24,0
road_5_3_2_2,4,27,4,0
road_5_4_2_0,75,0,76,0
road_5_4_2_1,69,149,70,0
road_5_4_2_2,5,39,6,0
