scenario,flow,agent,n_inject,seed,travel_time
1x1_low,low,maxqueue,0,0,91.69192442078462
1x1_low,low,maxqueue,0,1,85.99256653972495
1x1_low,low,maxqueue,0,2,91.82484727260255
1x1_low,low,maxqueue,2,0,95.25000359927695
1x1_low,low,maxqueue,2,1,86.68502585956983
1x1_low,low,maxqueue,2,2,89.34319347519973
1x1_low,low,maxqueue,4,0,90.02759903237263
1x1_low,low,maxqueue,4,1,84.75076363890408
1x1_low,low,maxqueue,4,2,88.09611145959651
1x1_low,low,maxqueue,6,0,92.92851088511021
1x1_low,low,maxqueue,6,1,98.96616770964935
1x1_low,low,maxqueue,6,2,89.47318832015581
1x1_low,low,maxqueue,8,0,92.04281761017558
1x1_low,low,maxqueue,8,1,86.7128765033286
1x1_low,low,maxqueue,8,2,88.40785698184894
1x1_low,low,maxqueue,10,0,83.36041368690675
1x1_low,low,maxqueue,10,1,87.51865010649469
1x1_low,low,maxqueue,10,2,87.87136710273433
1x1_low,low,maxqueue,12,0,97.34143888877011
1x1_low,low,maxqueue,12,1,89.2748313998657
1x1_low,low,maxqueue,12,2,92.66731789106214
1x1_low,low,maxqueue,14,0,90.44881044080975
1x1_low,low,maxqueue,14,1,93.87225131443218
1x1_low,low,maxqueue,14,2,96.99612797210935
1x1_low,low,maxqueue,16,0,101.28843807807144
1x1_low,low,maxqueue,16,1,111.28309658363202
1x1_low,low,maxqueue,16,2,104.41966686072828
1x1_low,low,maxqueue,18,0,111.585880110601
1x1_low,low,maxqueue,18,1,110.49976443759246
1x1_low,low,maxqueue,18,2,108.30838707109129
1x1_low,low,maxqueue,20,0,126.08755180163863
1x1_low,low,maxqueue,20,1,127.41899377008211
1x1_low,low,maxqueue,20,2,126.89907946580647
1x1_low,low,maxpressure,0,0,92.04719844325345
1x1_low,low,maxpressure,0,1,91.72326600313347
1x1_low,low,maxpressure,0,2,92.6824475261282
1x1_low,low,maxpressure,2,0,87.32771306235627
1x1_low,low,maxpressure,2,1,86.57292300869578
1x1_low,low,maxpressure,2,2,82.82174864427236
1x1_low,low,maxpressure,4,0,90.97459692454342
1x1_low,low,maxpressure,4,1,88.22732516535571
1x1_low,low,maxpressure,4,2,95.3251248220337
1x1_low,low,maxpressure,6,0,92.57710122575307
1x1_low,low,maxpressure,6,1,87.19196477487557
1x1_low,low,maxpressure,6,2,88.70214102468168
1x1_low,low,maxpressure,8,0,94.77820405029397
1x1_low,low,maxpressure,8,1,85.80374259420192
1x1_low,low,maxpressure,8,2,92.14622685647267
1x1_low,low,maxpressure,10,0,93.05722118596411
1x1_low,low,maxpressure,10,1,89.12323178931808
1x1_low,low,maxpressure,10,2,87.81218999107821
1x1_low,low,maxpressure,12,0,88.33968086947252
1x1_low,low,maxpressure,12,1,86.90304471351074
1x1_low,low,maxpressure,12,2,97.32501265944366
1x1_low,low,maxpressure,14,0,96.24267612844304
1x1_low,low,maxpressure,14,1,99.71779532471609
1x1_low,low,maxpressure,14,2,94.00169796489637
1x1_low,low,maxpressure,16,0,106.3617343985208
1x1_low,low,maxpressure,16,1,101.67177281169486
1x1_low,low,maxpressure,16,2,111.80615002851577
1x1_low,low,maxpressure,18,0,107.68752249351743
1x1_low,low,maxpressure,18,1,115.88634796241432
1x1_low,low,maxpressure,18,2,118.0030033234701
1x1_low,low,maxpressure,20,0,121.0605445478091
1x1_low,low,maxpressure,20,1,119.38964327973167
1x1_low,low,maxpressure,20,2,119.92687579483794
1x1_low,low,mplight,0,0,82.64836268873054
1x1_low,low,mplight,0,1,84.87285988523669
1x1_low,low,mplight,0,2,84.30257271148434
1x1_low,low,mplight,2,0,83.93420545593533
1x1_low,low,mplight,2,1,81.71527813924307
1x1_low,low,mplight,2,2,87.99138118310462
1x1_low,low,mplight,4,0,80.22617062157839
1x1_low,low,mplight,4,1,77.95714840797315
1x1_low,low,mplight,4,2,82.07398907443049
1x1_low,low,mplight,6,0,82.71961217399848
1x1_low,low,mplight,6,1,84.88885611096252
1x1_low,low,mplight,6,2,83.33448338265323
1x1_low,low,mplight,8,0,98.56008733703116
1x1_low,low,mplight,8,1,90.2986395742271
1x1_low,low,mplight,8,2,92.808686316845
1x1_low,low,mplight,10,0,109.94155863319855
1x1_low,low,mplight,10,1,113.09991036558364
1x1_low,low,mplight,10,2,115.27868230390504
1x1_low,low,mplight,12,0,139.24465845297527
1x1_low,low,mplight,12,1,128.23447289735915
1x1_low,low,mplight,12,2,132.92590274889878
1x1_low,low,mplight,14,0,146.0742723221561
1x1_low,low,mplight,14,1,159.67612831315844
1x1_low,low,mplight,14,2,159.8714361289677
1x1_low,low,mplight,16,0,188.15537822328727
1x1_low,low,mplight,16,1,188.3532821293527
1x1_low,low,mplight,16,2,182.38632279541852
1x1_low,low,mplight,18,0,218.04299344301802
1x1_low,low,mplight,18,1,210.9441728020828
1x1_low,low,mplight,18,2,205.14748254831758
1x1_low,low,mplight,20,0,230.0278007195109
1x1_low,low,mplight,20,1,228.19825895391028
1x1_low,low,mplight,20,2,235.45263871387118
1x1_low,low,colight,0,0,78.9116258529017
1x1_low,low,colight,0,1,82.49125540616599
1x1_low,low,colight,0,2,84.82624050638269
1x1_low,low,colight,2,0,85.97217275526793
1x1_low,low,colight,2,1,79.42323728920547
1x1_low,low,colight,2,2,76.41831177371724
1x1_low,low,colight,4,0,82.90549549602765
1x1_low,low,colight,4,1,84.95829950889062
1x1_low,low,colight,4,2,78.11435650866645
1x1_low,low,colight,6,0,82.61172670449221
1x1_low,low,colight,6,1,78.52732173580446
